Date,Time,Temperature
08.02.2026,19:12:38,20.0
08.02.2026,19:12:43,20.0
08.02.2026,19:12:48,20.0
08.02.2026,19:12:53,20.0
08.02.2026,19:12:58,20.0
08.02.2026,19:13:03,20.0
08.02.2026,19:13:08,20.0
08.02.2026,19:13:13,20.0
08.02.2026,19:13:18,20.0
08.02.2026,19:13:23,20.0
08.02.2026,19:13:28,20.0
08.02.2026,19:13:33,20.0
08.02.2026,19:13:38,20.0
08.02.2026,19:13:43,20.0
08.02.2026,19:13:48,20.0
08.02.2026,19:13:53,20.0
08.02.2026,19:13:58,20.0
08.02.2026,19:14:03,20.0
08.02.2026,19:14:08,20.0
08.02.2026,19:14:13,20.0
08.02.2026,19:14:18,20.0
08.02.2026,19:14:23,20.0
08.02.2026,19:14:28,20.0
08.02.2026,19:14:33,20.0
08.02.2026,19:14:38,20.0
08.02.2026,19:14:43,20.0
08.02.2026,19:14:48,20.0
08.02.2026,19:14:53,20.0
08.02.2026,19:14:58,20.0
08.02.2026,19:15:03,20.0
08.02.2026,19:15:08,20.0
08.02.2026,19:15:13,20.0
08.02.2026,19:15:18,20.0
08.02.2026,19:15:23,20.0
08.02.2026,19:15:28,20.0
08.02.2026,19:15:33,20.0
08.02.2026,19:15:38,20.0
08.02.2026,19:15:43,20.0
08.02.2026,19:15:48,20.0
08.02.2026,19:15:53,20.0
08.02.2026,19:15:58,20.0
08.02.2026,19:16:03,20.0
08.02.2026,19:16:08,20.0
08.02.2026,19:16:13,20.0
08.02.2026,19:16:18,20.0
08.02.2026,19:16:23,20.0
08.02.2026,19:16:28,20.0
08.02.2026,19:16:33,20.0
08.02.2026,19:16:38,20.0
08.02.2026,19:16:43,20.0
08.02.2026,19:16:48,20.0
08.02.2026,19:16:53,20.0
08.02.2026,19:16:58,20.0
08.02.2026,19:17:03,20.0
08.02.2026,19:17:08,20.0
08.02.2026,19:17:13,20.0
08.02.2026,19:17:18,20.0
08.02.2026,19:17:23,20.0
08.02.2026,19:17:28,20.0
08.02.2026,19:17:33,20.0
08.02.2026,19:17:38,20.0
08.02.2026,19:17:43,20.0
08.02.2026,19:17:48,20.0
08.02.2026,19:17:53,20.0
08.02.2026,19:17:58,20.0
08.02.2026,19:18:03,20.0
