Date,Time,Temperature
27.03.2026,18:37:04,22.0
27.03.2026,18:37:09,22.0
27.03.2026,18:37:14,22.0
27.03.2026,18:37:19,22.0
27.03.2026,18:37:24,22.0
27.03.2026,18:37:29,22.0
27.03.2026,18:37:34,22.0
27.03.2026,18:37:39,22.0
27.03.2026,18:37:44,22.0
27.03.2026,18:37:49,22.0
27.03.2026,18:37:54,22.0
27.03.2026,18:37:59,22.0
27.03.2026,18:38:04,22.0
27.03.2026,18:38:09,22.0
27.03.2026,18:38:14,22.0
27.03.2026,18:38:19,22.0
27.03.2026,18:38:24,22.0
27.03.2026,18:38:29,22.0
27.03.2026,18:38:34,22.0
27.03.2026,18:38:39,21.5
27.03.2026,18:38:44,21.5
27.03.2026,18:38:49,21.5
27.03.2026,18:38:54,21.5
27.03.2026,18:38:59,21.5
27.03.2026,18:39:04,21.5
27.03.2026,18:39:09,21.5
27.03.2026,18:39:14,21.5
27.03.2026,18:39:19,21.5
27.03.2026,18:39:24,21.5
27.03.2026,18:39:29,21.5
27.03.2026,18:39:34,21.5
27.03.2026,18:39:39,21.5
27.03.2026,18:39:44,21.5
27.03.2026,18:39:49,21.5
27.03.2026,18:39:54,21.5
27.03.2026,18:39:59,21.5
27.03.2026,18:40:04,21.5
27.03.2026,18:40:09,21.5
27.03.2026,18:40:14,21.5
27.03.2026,18:40:19,21.5
27.03.2026,18:40:24,21.5
27.03.2026,18:40:29,21.5
27.03.2026,18:40:34,21.5
27.03.2026,18:40:39,21.5
27.03.2026,18:40:44,21.5
27.03.2026,18:40:49,21.5
27.03.2026,18:40:54,21.5
27.03.2026,18:40:59,21.5
27.03.2026,18:41:04,21.5
27.03.2026,18:41:09,21.5
27.03.2026,18:41:14,21.5
27.03.2026,18:41:19,21.5
27.03.2026,18:41:24,21.5
27.03.2026,18:41:29,21.5
27.03.2026,18:41:34,21.0
27.03.2026,18:41:39,21.0
27.03.2026,18:41:44,21.5
27.03.2026,18:41:49,21.0
27.03.2026,18:41:54,21.0
27.03.2026,18:41:59,21.0
27.03.2026,18:42:04,21.0
27.03.2026,18:42:09,21.0
27.03.2026,18:42:14,21.0
27.03.2026,18:42:19,21.0
27.03.2026,18:42:24,21.0
27.03.2026,18:42:29,21.0
27.03.2026,18:42:34,21.0
27.03.2026,18:42:39,21.0
27.03.2026,18:42:44,21.0
27.03.2026,18:42:49,21.0
27.03.2026,18:42:54,21.0
27.03.2026,18:42:59,21.0
27.03.2026,18:43:04,21.0
27.03.2026,18:43:09,21.0
27.03.2026,18:43:14,21.0
27.03.2026,18:43:19,21.0
27.03.2026,18:43:24,21.0
27.03.2026,18:43:29,21.0
27.03.2026,18:43:34,21.0
27.03.2026,18:43:39,21.0
27.03.2026,18:43:44,21.0
27.03.2026,18:43:49,21.0
27.03.2026,18:43:54,21.0
27.03.2026,18:43:59,21.0
27.03.2026,18:44:04,21.0
27.03.2026,18:44:09,21.0
27.03.2026,18:44:14,21.0
27.03.2026,18:44:19,21.0
27.03.2026,18:44:24,21.0
27.03.2026,18:44:29,21.0
27.03.2026,18:44:34,21.0
27.03.2026,18:44:39,21.0
27.03.2026,18:44:44,21.0
27.03.2026,18:44:49,21.0
27.03.2026,18:44:54,21.0
27.03.2026,18:44:59,21.0
27.03.2026,18:45:04,21.0
27.03.2026,18:45:09,21.0
27.03.2026,18:45:14,21.0
27.03.2026,18:45:19,21.0
27.03.2026,18:45:24,21.0
27.03.2026,18:45:29,21.0
27.03.2026,18:45:34,21.0
27.03.2026,18:45:39,21.0
27.03.2026,18:45:44,21.0
27.03.2026,18:45:49,21.0
27.03.2026,18:45:54,21.0
27.03.2026,18:45:59,21.0
27.03.2026,18:46:04,21.0
27.03.2026,18:46:09,21.0
27.03.2026,18:46:14,21.0
27.03.2026,18:46:19,21.0
27.03.2026,18:46:24,21.0
27.03.2026,18:46:29,21.0
27.03.2026,18:46:34,21.0
27.03.2026,18:46:39,21.0
27.03.2026,18:46:44,21.0
27.03.2026,18:46:49,21.0
27.03.2026,18:46:54,21.0
27.03.2026,18:46:59,21.0
27.03.2026,18:47:04,21.0
27.03.2026,18:47:09,21.0
27.03.2026,18:47:14,21.0
27.03.2026,18:47:19,21.0
27.03.2026,18:47:24,21.0
27.03.2026,18:47:29,21.0
27.03.2026,18:47:34,21.0
27.03.2026,18:47:39,21.0
27.03.2026,18:47:44,21.0
27.03.2026,18:47:49,21.0
27.03.2026,18:47:54,21.0
27.03.2026,18:47:59,21.0
27.03.2026,18:48:04,21.0
27.03.2026,18:48:09,21.0
27.03.2026,18:48:14,21.0
27.03.2026,18:48:19,21.0
27.03.2026,18:48:24,21.0
27.03.2026,18:48:29,21.0
27.03.2026,18:48:34,21.0
27.03.2026,18:48:39,21.0
27.03.2026,18:48:44,21.0
27.03.2026,18:48:49,21.0
27.03.2026,18:48:54,21.0
27.03.2026,18:48:59,21.0
27.03.2026,18:49:04,21.0
27.03.2026,18:49:09,21.0
27.03.2026,18:49:14,21.0
27.03.2026,18:49:19,21.0
27.03.2026,18:49:24,21.0
27.03.2026,18:49:29,21.0
27.03.2026,18:49:34,21.0
27.03.2026,18:49:39,21.0
27.03.2026,18:49:44,21.0
27.03.2026,18:49:49,21.0
27.03.2026,18:49:54,21.0
27.03.2026,18:49:59,21.0
27.03.2026,18:50:04,21.0
27.03.2026,18:50:09,21.0
27.03.2026,18:50:14,21.0
27.03.2026,18:50:19,21.0
27.03.2026,18:50:24,21.0
27.03.2026,18:50:29,21.0
27.03.2026,18:50:34,21.0
27.03.2026,18:50:39,21.0
27.03.2026,18:50:44,21.0
27.03.2026,18:50:49,21.0
27.03.2026,18:50:54,21.0
27.03.2026,18:50:59,21.0
27.03.2026,18:51:04,21.0
27.03.2026,18:51:09,21.0
27.03.2026,18:51:14,21.0
27.03.2026,18:51:19,21.0
27.03.2026,18:51:24,21.0
27.03.2026,18:51:29,21.0
27.03.2026,18:51:34,21.0
27.03.2026,18:51:39,21.0
27.03.2026,18:51:44,21.0
27.03.2026,18:51:49,21.0
27.03.2026,18:51:54,21.0
27.03.2026,18:51:59,21.0
27.03.2026,18:52:04,21.0
27.03.2026,18:52:09,21.0
27.03.2026,18:52:14,21.0
27.03.2026,18:52:19,21.0
27.03.2026,18:52:24,21.0
27.03.2026,18:52:29,21.0
27.03.2026,18:52:34,21.0
27.03.2026,18:52:39,21.0
27.03.2026,18:52:44,21.0
27.03.2026,18:52:49,21.0
27.03.2026,18:52:54,21.0
27.03.2026,18:52:59,21.0
27.03.2026,18:53:04,21.0
27.03.2026,18:53:09,21.0
27.03.2026,18:53:14,21.0
27.03.2026,18:53:19,21.0
27.03.2026,18:53:24,21.0
27.03.2026,18:53:29,21.0
27.03.2026,18:53:34,21.0
27.03.2026,18:53:39,21.0
27.03.2026,18:53:44,21.0
27.03.2026,18:53:49,21.0
27.03.2026,18:53:54,21.0
27.03.2026,18:53:59,21.0
27.03.2026,18:54:04,21.0
27.03.2026,18:54:09,21.0
27.03.2026,18:54:14,21.0
27.03.2026,18:54:19,21.0
27.03.2026,18:54:24,21.0
27.03.2026,18:54:29,21.0
27.03.2026,18:54:34,21.0
27.03.2026,18:54:39,21.0
27.03.2026,18:54:44,21.0
27.03.2026,18:54:49,21.0
27.03.2026,18:54:54,21.0
27.03.2026,18:54:59,21.0
27.03.2026,18:55:04,21.0
27.03.2026,18:55:09,21.0
27.03.2026,18:55:14,21.0
27.03.2026,18:55:19,21.0
27.03.2026,18:55:24,21.0
27.03.2026,18:55:29,21.0
27.03.2026,18:55:34,21.0
27.03.2026,18:55:39,21.0
27.03.2026,18:55:44,21.0
27.03.2026,18:55:49,21.0
27.03.2026,18:55:54,21.0
27.03.2026,18:55:59,21.0
27.03.2026,18:56:04,21.0
27.03.2026,18:56:09,21.0
27.03.2026,18:56:14,21.0
27.03.2026,18:56:19,21.0
27.03.2026,18:56:24,21.0
27.03.2026,18:56:29,21.0
27.03.2026,18:56:34,21.0
27.03.2026,18:56:39,21.0
27.03.2026,18:56:44,21.0
27.03.2026,18:56:49,21.0
27.03.2026,18:56:54,21.0
27.03.2026,18:56:59,21.0
27.03.2026,18:57:04,21.0
27.03.2026,18:57:09,21.0
27.03.2026,18:57:14,21.0
27.03.2026,18:57:19,21.0
27.03.2026,18:57:24,21.0
27.03.2026,18:57:29,21.0
27.03.2026,18:57:34,21.0
27.03.2026,18:57:39,21.0
27.03.2026,18:57:44,21.0
27.03.2026,18:57:49,21.0
27.03.2026,18:57:54,21.0
27.03.2026,18:57:59,21.0
27.03.2026,18:58:04,21.0
27.03.2026,18:58:09,21.0
27.03.2026,18:58:14,21.0
27.03.2026,18:58:19,21.0
27.03.2026,18:58:24,21.0
27.03.2026,18:58:29,21.0
27.03.2026,18:58:34,21.0
27.03.2026,18:58:39,21.0
27.03.2026,18:58:44,21.0
27.03.2026,18:58:49,21.0
27.03.2026,18:58:54,21.0
27.03.2026,18:58:59,21.0
27.03.2026,18:59:04,21.0
27.03.2026,18:59:09,21.0
27.03.2026,18:59:14,21.0
27.03.2026,18:59:19,21.0
27.03.2026,18:59:24,21.0
27.03.2026,18:59:29,21.0
27.03.2026,18:59:34,21.0
27.03.2026,18:59:39,21.0
27.03.2026,18:59:44,21.0
27.03.2026,18:59:49,21.0
27.03.2026,18:59:54,21.0
27.03.2026,18:59:59,21.0
27.03.2026,19:00:04,21.0
27.03.2026,19:00:09,21.0
27.03.2026,19:00:14,21.0
27.03.2026,19:00:19,21.0
27.03.2026,19:00:24,21.0
27.03.2026,19:00:29,21.0
27.03.2026,19:00:34,21.0
27.03.2026,19:00:39,21.0
27.03.2026,19:00:44,21.0
27.03.2026,19:00:49,21.0
27.03.2026,19:00:54,21.0
27.03.2026,19:00:59,21.0
27.03.2026,19:01:04,21.0
27.03.2026,19:01:09,21.0
27.03.2026,19:01:14,21.0
27.03.2026,19:01:19,21.0
27.03.2026,19:01:24,21.0
27.03.2026,19:01:29,21.0
27.03.2026,19:01:34,21.0
27.03.2026,19:01:39,21.0
27.03.2026,19:01:44,21.0
27.03.2026,19:01:49,21.0
27.03.2026,19:01:54,21.0
27.03.2026,19:01:59,21.0
27.03.2026,19:02:04,21.0
27.03.2026,19:02:09,21.0
27.03.2026,19:02:14,21.0
27.03.2026,19:02:19,21.0
27.03.2026,19:02:24,21.0
