Date,Time,Temperature,Flag
05.06.2026,23:44:56,22.9,d
05.06.2026,23:53:56,22.9,d
06.06.2026,00:02:56,22.9,d
06.06.2026,00:11:58,22.9,d
06.06.2026,00:20:58,22.8,d
06.06.2026,00:29:58,22.8,d
06.06.2026,00:39:00,22.8,d
06.06.2026,00:48:00,22.8,d
06.06.2026,00:57:00,22.8,d
06.06.2026,01:06:02,22.8,d
06.06.2026,01:15:02,22.8,d
06.06.2026,01:24:02,22.7,d
