Date,Time,Temperature,Flag
29.01.2026,11:11:00,17.2,m
30.01.2026,11:05:00,16.9,m
30.01.2026,17:56:00,19.9,m
30.01.2026,17:58:00,20.0,m
30.01.2026,18:06:00,20.0,m
30.01.2026,18:08:00,20.1,m
30.01.2026,18:29:00,20.4,m
30.01.2026,18:31:00,20.5,m
30.01.2026,18:33:00,20.6,m
30.01.2026,18:58:00,20.8,m
30.01.2026,19:03:00,20.9,m
30.01.2026,19:05:00,21.0,m
30.01.2026,19:06:00,21.0,m
30.01.2026,19:22:00,21.1,m
30.01.2026,19:26:00,21.2,m
30.01.2026,19:29:00,21.3,m
30.01.2026,19:36:00,21.4,m
30.01.2026,19:41:00,21.5,m
30.01.2026,19:53:00,21.5,m
30.01.2026,19:57:00,21.6,m
30.01.2026,20:08:00,21.7,m
30.01.2026,20:18:00,21.8,m
30.01.2026,20:27:00,21.8,m
30.01.2026,20:38:00,21.6,a
30.01.2026,20:44:00,21.4,a
01.02.2026,14:11:00,15.8,b
01.02.2026,15:04:00,16.3,b
01.02.2026,15:06:00,16.4,b
01.02.2026,16:57:00,17.0,m
01.02.2026,17:04:00,17.1,m
01.02.2026,17:19:00,17.6,m
01.02.2026,17:20:00,17.7,m
01.02.2026,17:22:00,18.1,m
01.02.2026,17:58:00,18.9,m
01.02.2026,18:03:00,19.0,m
01.02.2026,19:06:00,19.8,m
01.02.2026,19:08:00,19.8,m
01.02.2026,19:12:00,19.9,m
01.02.2026,19:23:00,20.1,m
01.02.2026,19:53:00,20.4,m
01.02.2026,19:54:00,20.5,m
01.02.2026,20:07:00,20.7,m
01.02.2026,20:08:00,20.8,m
01.02.2026,20:21:00,21.1,m
01.02.2026,20:26:00,21.5,a
01.02.2026,20:30:00,21.7,a
01.02.2026,20:35:00,21.8,a
01.02.2026,20:47:00,21.4,a
01.02.2026,21:02:00,20.5,a
01.02.2026,21:23:00,20.0,a
01.02.2026,21:38:00,19.7,a
