Date,Time,Temperature
29.03.2026,21:02:30,23.0
29.03.2026,21:03:00,23.0
29.03.2026,21:03:30,23.0
29.03.2026,21:04:00,23.0
29.03.2026,21:04:30,23.0
29.03.2026,21:05:00,23.0
29.03.2026,21:05:30,22.5
29.03.2026,21:06:00,22.5
29.03.2026,21:06:30,22.5
29.03.2026,21:07:00,22.5
29.03.2026,21:07:30,22.5
29.03.2026,21:08:00,22.5
29.03.2026,21:08:30,22.5
29.03.2026,21:09:00,22.5
29.03.2026,21:09:30,22.5
29.03.2026,21:10:00,22.5
29.03.2026,21:10:30,22.5
29.03.2026,21:11:00,22.5
29.03.2026,21:11:30,22.5
29.03.2026,21:12:00,22.5
29.03.2026,21:12:30,23.0
29.03.2026,21:13:00,23.0
29.03.2026,21:13:30,23.0
29.03.2026,21:14:00,23.0
29.03.2026,21:14:30,23.0
29.03.2026,21:15:00,23.0
29.03.2026,21:15:30,23.0
29.03.2026,21:16:00,23.0
29.03.2026,21:16:30,22.5
29.03.2026,21:17:00,23.0
29.03.2026,21:17:30,22.5
29.03.2026,21:18:00,22.5
29.03.2026,21:18:30,22.5
29.03.2026,21:19:00,22.5
29.03.2026,21:19:30,23.0
29.03.2026,21:20:00,22.5
29.03.2026,21:20:30,23.0
29.03.2026,21:21:00,23.0
29.03.2026,21:21:30,23.0
29.03.2026,21:22:00,23.0
29.03.2026,21:22:30,23.0
29.03.2026,21:23:00,23.0
29.03.2026,21:23:30,23.0
29.03.2026,21:24:00,23.0
29.03.2026,21:24:30,23.0
29.03.2026,21:25:00,23.0
29.03.2026,21:25:30,23.0
29.03.2026,21:26:00,23.0
29.03.2026,21:26:30,23.0
29.03.2026,21:27:00,23.0
29.03.2026,21:27:30,23.0
29.03.2026,21:28:00,23.0
29.03.2026,21:28:30,23.0
29.03.2026,21:29:00,23.0
29.03.2026,21:29:30,23.0
29.03.2026,21:30:00,23.0
29.03.2026,21:30:30,23.0
29.03.2026,21:31:00,23.0
29.03.2026,21:31:30,23.0
29.03.2026,21:32:00,23.0
29.03.2026,21:32:30,23.0
29.03.2026,21:33:00,23.0
29.03.2026,21:33:30,23.0
29.03.2026,21:34:00,23.0
29.03.2026,21:34:30,23.0
29.03.2026,21:35:00,23.0
29.03.2026,21:35:30,23.0
29.03.2026,21:36:00,23.0
29.03.2026,21:36:30,23.0
29.03.2026,21:37:00,23.0
29.03.2026,21:37:30,23.0
29.03.2026,21:38:00,23.0
29.03.2026,21:38:30,23.0
29.03.2026,21:39:00,23.0
29.03.2026,21:39:30,23.0
29.03.2026,21:40:00,23.0
29.03.2026,21:40:30,23.0
29.03.2026,21:41:00,23.0
29.03.2026,21:41:30,23.0
29.03.2026,21:42:00,23.0
29.03.2026,21:42:30,23.0
29.03.2026,21:43:00,23.0
29.03.2026,21:43:30,22.5
29.03.2026,21:44:00,23.0
29.03.2026,21:44:30,23.0
29.03.2026,21:45:00,22.5
29.03.2026,21:45:30,22.5
29.03.2026,21:46:00,23.0
29.03.2026,21:46:30,22.5
29.03.2026,21:47:00,23.0
29.03.2026,21:47:30,23.0
29.03.2026,21:48:00,22.5
29.03.2026,21:48:30,22.5
29.03.2026,21:49:00,23.0
29.03.2026,21:49:30,22.5
29.03.2026,21:50:00,22.5
29.03.2026,21:50:30,22.5
29.03.2026,21:51:00,22.5
29.03.2026,21:51:30,22.5
29.03.2026,21:52:00,22.5
29.03.2026,21:52:30,22.5
29.03.2026,21:53:00,22.5
29.03.2026,21:53:30,22.5
29.03.2026,21:54:00,22.5
29.03.2026,21:54:30,22.5
29.03.2026,21:55:00,22.5
29.03.2026,21:55:30,22.5
29.03.2026,21:56:00,22.5
29.03.2026,21:56:30,22.5
29.03.2026,21:57:00,22.5
29.03.2026,21:57:30,22.5
29.03.2026,21:58:00,22.5
29.03.2026,21:58:30,22.5
29.03.2026,21:59:00,22.5
29.03.2026,21:59:30,22.5
29.03.2026,22:00:00,22.5
29.03.2026,22:00:30,22.5
29.03.2026,22:01:00,22.5
29.03.2026,22:01:30,22.5
29.03.2026,22:02:00,22.5
29.03.2026,22:02:30,22.5
29.03.2026,22:03:00,22.5
29.03.2026,22:03:30,22.5
