Date,Time,Temperature
12.04.2026,17:12:10,21.0
12.04.2026,17:12:15,21.0
12.04.2026,17:12:20,21.0
12.04.2026,17:12:25,21.0
12.04.2026,17:12:30,21.0
12.04.2026,17:12:35,21.0
12.04.2026,17:12:40,21.0
12.04.2026,17:12:45,21.0
12.04.2026,17:12:50,21.0
12.04.2026,17:12:55,21.0
12.04.2026,17:13:00,21.0
12.04.2026,17:13:05,21.0
12.04.2026,17:13:10,21.0
12.04.2026,17:13:15,21.0
12.04.2026,17:13:20,21.0
12.04.2026,17:13:25,21.0
12.04.2026,17:13:30,21.0
12.04.2026,17:13:35,21.0
12.04.2026,17:13:40,21.0
12.04.2026,17:13:45,21.0
12.04.2026,17:13:50,21.0
12.04.2026,17:13:55,21.0
12.04.2026,17:14:00,21.0
12.04.2026,17:14:05,21.0
12.04.2026,17:14:10,21.0
12.04.2026,17:14:15,21.0
12.04.2026,17:14:20,21.0
12.04.2026,17:14:25,21.0
12.04.2026,17:14:30,21.0
12.04.2026,17:14:35,21.0
12.04.2026,17:14:40,21.0
12.04.2026,17:14:45,21.0
12.04.2026,17:14:50,21.0
12.04.2026,17:14:55,21.0
12.04.2026,17:15:00,21.0
12.04.2026,17:15:05,21.0
12.04.2026,17:15:10,21.0
12.04.2026,17:15:15,21.0
12.04.2026,17:15:20,21.0
12.04.2026,17:15:25,21.0
12.04.2026,17:15:30,21.0
12.04.2026,17:15:35,21.0
12.04.2026,17:15:40,21.0
12.04.2026,17:15:45,21.0
12.04.2026,17:15:50,21.0
12.04.2026,17:15:55,21.0
12.04.2026,17:16:00,21.0
12.04.2026,17:16:05,21.0
12.04.2026,17:16:10,21.0
12.04.2026,17:16:15,21.0
12.04.2026,17:16:20,21.0
12.04.2026,17:16:25,21.0
12.04.2026,17:16:30,21.0
12.04.2026,17:16:35,21.0
12.04.2026,17:16:40,21.0
12.04.2026,17:16:45,21.0
12.04.2026,17:16:50,21.0
12.04.2026,17:16:55,21.0
