Date,Time,Temperature
10.04.2026,20:46:09,24.0
10.04.2026,20:46:14,24.0
10.04.2026,20:46:19,24.0
10.04.2026,20:46:24,24.0
10.04.2026,20:46:29,24.0
10.04.2026,20:46:34,24.0
10.04.2026,20:46:39,24.0
10.04.2026,20:46:44,23.5
10.04.2026,20:46:49,23.5
10.04.2026,20:46:54,23.5
10.04.2026,20:46:59,23.5
10.04.2026,20:47:05,23.5
10.04.2026,20:47:10,23.5
10.04.2026,20:47:15,23.5
10.04.2026,20:47:20,23.5
10.04.2026,20:47:25,23.5
10.04.2026,20:47:30,23.5
10.04.2026,20:47:35,23.5
10.04.2026,20:47:40,23.5
10.04.2026,20:47:45,23.5
10.04.2026,20:47:50,23.5
10.04.2026,20:47:55,23.5
10.04.2026,20:48:00,23.5
10.04.2026,20:48:05,23.5
10.04.2026,20:48:10,23.5
10.04.2026,20:48:15,23.5
10.04.2026,20:48:20,23.5
10.04.2026,20:48:25,23.5
10.04.2026,20:48:30,23.5
10.04.2026,20:48:35,23.5
10.04.2026,20:48:40,23.5
10.04.2026,20:48:45,23.5
10.04.2026,20:48:50,23.5
10.04.2026,20:48:55,23.5
10.04.2026,20:48:59,23.5
10.04.2026,20:49:04,23.5
10.04.2026,20:49:09,23.5
10.04.2026,20:49:14,23.5
10.04.2026,20:49:19,23.5
10.04.2026,20:49:24,23.5
10.04.2026,20:49:29,23.5
10.04.2026,20:49:34,23.5
10.04.2026,20:49:39,23.0
10.04.2026,20:49:44,23.5
10.04.2026,20:49:49,23.5
10.04.2026,20:49:54,23.5
10.04.2026,20:49:59,23.5
10.04.2026,20:50:04,23.5
10.04.2026,20:50:09,23.5
10.04.2026,20:50:14,23.0
10.04.2026,20:50:19,23.0
10.04.2026,20:50:24,23.0
10.04.2026,20:50:29,23.5
10.04.2026,20:50:34,23.0
10.04.2026,20:50:39,23.5
10.04.2026,20:50:44,23.0
10.04.2026,20:50:49,23.0
10.04.2026,20:50:54,23.0
10.04.2026,20:50:59,23.0
10.04.2026,20:51:04,23.0
10.04.2026,20:51:09,23.0
10.04.2026,20:51:14,23.0
10.04.2026,20:51:19,23.0
10.04.2026,20:51:24,23.0
10.04.2026,20:51:29,23.0
10.04.2026,20:51:34,23.0
10.04.2026,20:51:39,23.0
10.04.2026,20:51:44,23.0
10.04.2026,20:51:49,23.0
10.04.2026,20:51:54,23.0
10.04.2026,20:51:59,23.0
10.04.2026,20:52:04,23.0
10.04.2026,20:52:09,23.0
10.04.2026,20:52:14,23.0
10.04.2026,20:52:19,23.0
10.04.2026,20:52:24,23.0
10.04.2026,20:52:29,23.0
10.04.2026,20:52:34,23.0
10.04.2026,20:52:39,23.0
10.04.2026,20:52:44,23.0
10.04.2026,20:52:49,23.0
10.04.2026,20:52:54,23.0
10.04.2026,20:52:59,23.0
10.04.2026,20:53:04,23.0
10.04.2026,20:53:09,23.0
10.04.2026,20:53:14,23.0
10.04.2026,20:53:19,23.0
10.04.2026,20:53:24,23.0
10.04.2026,20:53:29,23.0
10.04.2026,20:53:35,23.0
10.04.2026,20:53:40,23.0
10.04.2026,20:53:45,23.0
10.04.2026,20:53:50,23.0
10.04.2026,20:53:54,23.0
10.04.2026,20:53:59,23.0
10.04.2026,20:54:04,23.0
10.04.2026,20:54:09,23.0
10.04.2026,20:54:14,23.0
10.04.2026,20:54:19,23.0
10.04.2026,20:54:24,23.0
10.04.2026,20:54:29,23.0
10.04.2026,20:54:34,23.0
10.04.2026,20:54:39,23.0
10.04.2026,20:54:44,23.0
10.04.2026,20:54:49,23.0
10.04.2026,20:54:54,23.0
10.04.2026,20:54:59,23.0
10.04.2026,20:55:04,23.0
10.04.2026,20:55:09,23.0
10.04.2026,20:55:14,23.0
10.04.2026,20:55:19,23.0
10.04.2026,20:55:24,23.0
10.04.2026,20:55:29,23.0
10.04.2026,20:55:34,23.0
10.04.2026,20:55:39,23.0
10.04.2026,20:55:44,23.0
10.04.2026,20:55:49,23.0
10.04.2026,20:55:54,23.0
10.04.2026,20:55:59,23.0
10.04.2026,20:56:04,23.0
10.04.2026,20:56:09,23.0
10.04.2026,20:56:14,23.0
10.04.2026,20:56:19,23.0
10.04.2026,20:56:24,23.0
10.04.2026,20:56:29,23.0
10.04.2026,20:56:34,23.0
10.04.2026,20:56:39,23.0
10.04.2026,20:56:44,23.0
10.04.2026,20:56:49,23.0
10.04.2026,20:56:54,23.0
10.04.2026,20:56:59,23.0
10.04.2026,20:57:04,23.0
10.04.2026,20:57:09,23.0
10.04.2026,20:57:14,23.0
10.04.2026,20:57:19,23.0
10.04.2026,20:57:24,23.0
10.04.2026,20:57:29,23.0
10.04.2026,20:57:34,23.0
10.04.2026,20:57:39,23.0
10.04.2026,20:57:44,23.0
10.04.2026,20:57:49,23.0
10.04.2026,20:57:54,23.0
10.04.2026,20:57:59,23.0
10.04.2026,20:58:04,23.0
10.04.2026,20:58:09,23.0
10.04.2026,20:58:14,23.0
10.04.2026,20:58:19,23.0
10.04.2026,20:58:24,23.0
10.04.2026,20:58:29,23.0
10.04.2026,20:58:34,23.0
10.04.2026,20:58:39,23.0
10.04.2026,20:58:44,23.0
10.04.2026,20:58:49,23.0
10.04.2026,20:58:54,23.0
10.04.2026,20:58:59,23.0
10.04.2026,20:59:04,23.0
10.04.2026,20:59:09,23.0
10.04.2026,20:59:14,23.0
10.04.2026,20:59:19,23.0
10.04.2026,20:59:24,23.0
10.04.2026,20:59:29,23.0
10.04.2026,20:59:34,23.0
10.04.2026,20:59:39,23.0
10.04.2026,20:59:44,23.0
10.04.2026,20:59:49,23.0
10.04.2026,20:59:54,23.0
10.04.2026,20:59:59,23.0
10.04.2026,21:00:04,23.0
10.04.2026,21:00:09,23.0
10.04.2026,21:00:14,23.0
10.04.2026,21:00:19,23.0
10.04.2026,21:00:24,23.0
10.04.2026,21:00:29,23.0
10.04.2026,21:00:34,23.0
10.04.2026,21:00:39,22.5
10.04.2026,21:00:44,23.0
10.04.2026,21:00:49,22.5
10.04.2026,21:00:54,23.0
10.04.2026,21:00:59,23.0
10.04.2026,21:01:04,22.5
10.04.2026,21:01:09,23.0
10.04.2026,21:01:14,23.0
10.04.2026,21:01:19,22.5
10.04.2026,21:01:24,22.5
10.04.2026,21:01:29,23.0
10.04.2026,21:01:34,23.0
10.04.2026,21:01:39,23.0
10.04.2026,21:01:44,22.5
10.04.2026,21:01:49,23.0
10.04.2026,21:01:54,23.0
10.04.2026,21:01:59,23.0
10.04.2026,21:02:04,23.0
10.04.2026,21:02:09,23.0
10.04.2026,21:02:14,22.5
10.04.2026,21:02:19,22.5
10.04.2026,21:02:24,23.0
10.04.2026,21:02:29,23.0
10.04.2026,21:02:34,22.5
10.04.2026,21:02:39,22.5
10.04.2026,21:02:44,23.0
10.04.2026,21:02:49,22.5
10.04.2026,21:02:55,23.0
10.04.2026,21:03:00,22.5
10.04.2026,21:03:05,22.5
10.04.2026,21:03:10,22.5
10.04.2026,21:03:15,22.5
10.04.2026,21:03:20,22.5
10.04.2026,21:03:25,22.5
10.04.2026,21:03:30,22.5
10.04.2026,21:03:35,22.5
10.04.2026,21:03:40,22.5
10.04.2026,21:03:45,22.5
10.04.2026,21:03:50,22.5
10.04.2026,21:03:55,22.5
10.04.2026,21:04:00,22.5
10.04.2026,21:04:05,22.5
10.04.2026,21:04:10,22.5
10.04.2026,21:04:15,22.5
10.04.2026,21:04:20,22.5
10.04.2026,21:04:25,22.5
10.04.2026,21:04:30,22.5
10.04.2026,21:04:35,22.5
10.04.2026,21:04:39,22.5
